X ; php bn:01753580n ; texte bn:00076732n ; fichier bn:00021475n ; données bn:00025314n ; base de donnees bn:00025333n ; site bn:00047172n ; client web bn:00013447n ; langage de script bn:01431715n ; nombre bn:00058285n ; sélectionner bn:00084931v ; code bn:00020354n ; afficher bn:00087013v ; nécessaire bn:00107182a ; serveur bn:00044916n ; fois bn:00032768n ; class bn:03598962n ; commentaires bn:00020978n ; chaîne bn:00074685n ; syntaxe bn:00062118n ; personne bn:00046516n ; hiérarchie bn:00044017n ; langage bn:00049910n ; méthode bn:01641329n ; pouvoir bn:00084450v ; timestamp bn:03603649n ; pouvoir bn:00084451v ; client bn:00019764n ; echo bn:03626250n ; rue bn:00074595n ; void bn:01326821n ; exception bn:00032118n ; wamp bn:01708928n ; symfony bn:02798620n ; doctype bn:15839327n ; environnement de développement bn:00748100n ; realisateur bn:00027369n ; informatique bn:00100175a
php bn:01753580n ; 1 ; 0.222222 ; 0.133333 ; 0.0588235 ; 0.0869565 ; 0.0909091 ; 0.0909091 ; 0.1 ; 0.1 ; 0.1 ; 0.0833333 ; 0.285714 ; 0.0666667 ; 0.2 ; 0.0487805 ; 0.125 ; 0.0769231 ; 0.142857 ; 0.0487805 ; 0.2 ; 0.5 ; 0.0357143 ; 0.142857 ; 0.333333 ; 0.2 ; 0.2 ; 0.133333 ; 0.142857 ; 0.5 ; 0.2 ; 0.333333 ; 0.142857 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.142857
texte bn:00076732n ; 0.222222 ; 1 ; 0.25 ; 0.235294 ; 0.333333 ; 0.363636 ; 0.363636 ; 0.166667 ; 0.4 ; 0.166667 ; 0.16 ; 0.235294 ; 0.117647 ; 0.285714 ; 0.0952381 ; 0.105263 ; 0.0689655 ; 0.222222 ; 0.0952381 ; 0.153846 ; 0.125 ; 0.142857 ; 0.117647 ; 0.1 ; 0.153846 ; 0.125 ; 0.111111 ; 0.1 ; 0.285714 ; 0.125 ; 0.222222 ; 0.222222 ; 0.125 ; 0.125 ; 0.285714 ; 0.285714 ; 0.571429
fichier bn:00021475n ; 0.133333 ; 0.25 ; 1 ; 0.173913 ; 0.133333 ; 0.235294 ; 0.235294 ; 0.25 ; 0.25 ; 0.25 ; 0.590909 ; 0.173913 ; 0.190476 ; 0.153846 ; 0.181818 ; 0.173913 ; 0.121212 ; 0.133333 ; 0.181818 ; 0.235294 ; 0.153846 ; 0.117647 ; 0.388889 ; 0.133333 ; 0.235294 ; 0.0714286 ; 0.04 ; 0.0625 ; 0.0714286 ; 0.0714286 ; 0.0625 ; 0.133333 ; 0.0714286 ; 0.0714286 ; 0.153846 ; 0.153846 ; 0.307692
données bn:00025314n ; 0.0588235 ; 0.235294 ; 0.173913 ; 1 ; 0.666667 ; 0.571429 ; 0.571429 ; 0.235294 ; 0.5 ; 0.105263 ; 0.125 ; 0.166667 ; 0.181818 ; 0.142857 ; 0.358974 ; 0.166667 ; 0.266667 ; 0.285714 ; 0.358974 ; 0.222222 ; 0.0666667 ; 0.56 ; 0.181818 ; 0.0588235 ; 0.1 ; 0.0666667 ; 0.173913 ; 0.125 ; 0.0666667 ; 0.0666667 ; 0.0588235 ; 0.285714 ; 0.142857 ; 0.142857 ; 0.142857 ; 0.142857 ; 0.285714
base de donnees bn:00025333n ; 0.0869565 ; 0.333333 ; 0.133333 ; 0.666667 ; 1 ; 0.380952 ; 0.380952 ; 0.166667 ; 0.333333 ; 0.0769231 ; 0.102564 ; 0.296296 ; 0.137931 ; 0.0952381 ; 0.304348 ; 0.129032 ; 0.216216 ; 0.190476 ; 0.304348 ; 0.16 ; 0.0454545 ; 0.4375 ; 0.137931 ; 0.0416667 ; 0.0740741 ; 0.0454545 ; 0.259259 ; 0.0869565 ; 0.0952381 ; 0.0454545 ; 0.0869565 ; 0.190476 ; 0.0952381 ; 0.0952381 ; 0.0952381 ; 0.0952381 ; 0.190476
site bn:00047172n ; 0.0909091 ; 0.363636 ; 0.235294 ; 0.571429 ; 0.380952 ; 1 ; 1 ; 0.153846 ; 0.363636 ; 0.153846 ; 0.153846 ; 0.222222 ; 0.25 ; 0.25 ; 0.205128 ; 0.1 ; 0.142857 ; 0.2 ; 0.205128 ; 0.333333 ; 0.111111 ; 0.32 ; 0.111111 ; 0.0909091 ; 0.142857 ; 0.111111 ; 0.105263 ; 0.0909091 ; 0.111111 ; 0.111111 ; 0.0909091 ; 0.5 ; 0.111111 ; 0.111111 ; 0.25 ; 0.25 ; 0.5
client web bn:00013447n ; 0.0909091 ; 0.363636 ; 0.235294 ; 0.571429 ; 0.380952 ; 1 ; 1 ; 0.153846 ; 0.363636 ; 0.153846 ; 0.153846 ; 0.222222 ; 0.25 ; 0.25 ; 0.205128 ; 0.1 ; 0.142857 ; 0.2 ; 0.205128 ; 0.333333 ; 0.111111 ; 0.32 ; 0.111111 ; 0.0909091 ; 0.142857 ; 0.111111 ; 0.105263 ; 0.0909091 ; 0.111111 ; 0.111111 ; 0.0909091 ; 0.5 ; 0.111111 ; 0.111111 ; 0.25 ; 0.25 ; 0.5
langage de script bn:01431715n ; 0.1 ; 0.166667 ; 0.25 ; 0.235294 ; 0.166667 ; 0.153846 ; 0.153846 ; 1 ; 0.4 ; 0.166667 ; 0.16 ; 0.05 ; 0.117647 ; 0.125 ; 0.0952381 ; 0.235294 ; 0.148148 ; 0.571429 ; 0.0952381 ; 0.153846 ; 0.125 ; 0.142857 ; 0.583333 ; 0.1 ; 0.153846 ; 0.125 ; 0.111111 ; 0.222222 ; 0.125 ; 0.125 ; 0.1 ; 0.222222 ; 0.285714 ; 0.285714 ; 0.125 ; 0.285714 ; 0.222222
nombre bn:00058285n ; 0.1 ; 0.4 ; 0.25 ; 0.5 ; 0.333333 ; 0.363636 ; 0.363636 ; 0.4 ; 1 ; 0.166667 ; 0.16 ; 0.105263 ; 0.117647 ; 0.285714 ; 0.179487 ; 0.235294 ; 0.148148 ; 0.571429 ; 0.179487 ; 0.153846 ; 0.125 ; 0.28 ; 0.266667 ; 0.1 ; 0.153846 ; 0.125 ; 0.111111 ; 0.222222 ; 0.125 ; 0.125 ; 0.1 ; 0.222222 ; 0.285714 ; 0.285714 ; 0.285714 ; 0.285714 ; 0.571429
sélectionner bn:00084931v ; 0.1 ; 0.166667 ; 0.25 ; 0.105263 ; 0.0769231 ; 0.153846 ; 0.153846 ; 0.166667 ; 0.166667 ; 1 ; 0.318182 ; 0.105263 ; 0.583333 ; 0.285714 ; 0.0952381 ; 0.105263 ; 0.0689655 ; 0.1 ; 0.0952381 ; 0.0714286 ; 0.125 ; 0.142857 ; 0.117647 ; 0.222222 ; 0.153846 ; 0.285714 ; 0.111111 ; 0.222222 ; 0.125 ; 0.285714 ; 0.222222 ; 0.1 ; 0.125 ; 0.125 ; 0.285714 ; 0.125 ; 0.222222
code bn:00020354n ; 0.0833333 ; 0.16 ; 0.590909 ; 0.125 ; 0.102564 ; 0.153846 ; 0.153846 ; 0.16 ; 0.16 ; 0.318182 ; 1 ; 0.125 ; 0.259259 ; 0.0909091 ; 0.326087 ; 0.285714 ; 0.210526 ; 0.0833333 ; 0.326087 ; 0.153846 ; 0.0909091 ; 0.205128 ; 0.259259 ; 0.181818 ; 0.363636 ; 0.0909091 ; 0.0606061 ; 0.0833333 ; 0.0434783 ; 0.0909091 ; 0.0833333 ; 0.0833333 ; 0.0434783 ; 0.0434783 ; 0.0909091 ; 0.0909091 ; 0.181818
afficher bn:00087013v ; 0.285714 ; 0.235294 ; 0.173913 ; 0.166667 ; 0.296296 ; 0.222222 ; 0.222222 ; 0.05 ; 0.105263 ; 0.105263 ; 0.125 ; 1 ; 0.181818 ; 0.142857 ; 0.177778 ; 0.0769231 ; 0.117647 ; 0.0588235 ; 0.177778 ; 0.222222 ; 0.142857 ; 0.114286 ; 0.0833333 ; 0.125 ; 0.1 ; 0.0666667 ; 0.173913 ; 0.0588235 ; 0.142857 ; 0.0666667 ; 0.125 ; 0.125 ; 0.0666667 ; 0.0666667 ; 0.142857 ; 0.0666667 ; 0.125
nécessaire bn:00107182a ; 0.0666667 ; 0.117647 ; 0.190476 ; 0.181818 ; 0.137931 ; 0.25 ; 0.25 ; 0.117647 ; 0.117647 ; 0.583333 ; 0.259259 ; 0.181818 ; 1 ; 0.166667 ; 0.186047 ; 0.0833333 ; 0.125 ; 0.0666667 ; 0.186047 ; 0.111111 ; 0.0769231 ; 0.275862 ; 0.0909091 ; 0.142857 ; 0.111111 ; 0.166667 ; 0.190476 ; 0.142857 ; 0.0769231 ; 0.166667 ; 0.142857 ; 0.142857 ; 0.0769231 ; 0.0769231 ; 0.166667 ; 0.0769231 ; 0.142857
serveur bn:00044916n ; 0.2 ; 0.285714 ; 0.153846 ; 0.142857 ; 0.0952381 ; 0.25 ; 0.25 ; 0.125 ; 0.285714 ; 0.285714 ; 0.0909091 ; 0.142857 ; 0.166667 ; 1 ; 0.0512821 ; 0.0666667 ; 0.04 ; 0.2 ; 0.0512821 ; 0.111111 ; 0.333333 ; 0.08 ; 0.0769231 ; 0.2 ; 0.111111 ; 0.333333 ; 0.0714286 ; 0.2 ; 0.333333 ; 0.333333 ; 0.2 ; 0.2 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.5
