X;C1;C11;C12;C13;C14;C15;C16;C17;C18;C19;C2;C3;C4;C5;C6;C7;C8;C9
page web;0;0.162486;0.178651;0.149656;0.15748;0.146771;0;0.167982;0.161884;0.160785;0;0.144112;0;0.155177;0.171566;0;0.124372;0
page web statiques;0.000844595;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
navigateur;0;0.00525624;0;0;0;0.00461361;0;0.00685812;0;0.00427008;0;0;0.00988264;0;0;0;0;0
serveur web;0;0.376261;0.342284;0.100486;0.284579;0.423654;0.256179;0.351141;0.299463;0.438373;0.160258;0.368832;0.247942;0.360677;0.378312;0;0;0.393562
fichier;0;0.032175;0.0373686;0;0;0;0;0;0.0395648;0;0;0.0267239;0.0482069;0.0314961;0;0.11204;0.0938897;0
disque dur;0.0133445;0;0;0;0;0;0;0.00685812;0;0.00427008;0;0;0;0;0.00595681;0.0319361;0;0
client serveur;0.163369;0.143094;0;0;0.174534;0.131448;0.177832;0.15777;0.173829;0.148517;0;0;0;0.148539;0.153494;0;0;0.164476
base de donnée;0.00671704;0;0;0.0131579;0;0;0;0;0;0;0;0;0;0;0;0;0.0142349;0.00277393
donnée;0.00336984;0;0;0.00662252;0;0;0;0.0017234;0;0;0;0;0;0;0;0;0;0
ensemble;0.00336984;0;0;0;0.00215633;0;0;0.0017234;0;0;0;0;0;0;0;0;0;0
php;0.0449799;0;0;0;0;0.0159363;0;0;0.0277078;0.0163718;0;0.018024;0.0336336;0;0;0;0;0.0204499
javascript;0.197203;0.334799;0.324964;0.109676;0.269744;0.394539;0.280428;0.326984;0;0.384505;0.154003;0.376174;0.223519;0.325961;0.333669;0;0;0.319359
perl;0.138182;0.101805;0.1034;0;0;0.0870249;0;0.11473;0;0.0885391;0;0.115314;0.131462;0.101135;0;0;0;0.100801
python;0.0238683;0.00947712;0;0;0;0;0;0;0;0.00851064;0;0.0101249;0;0.0106072;0.011107;0;0;0
java;0.16;0;0.152281;0.114251;0.169996;0.175662;0.179388;0.173184;0;0.151571;0.157514;0.159922;0;0.140427;0.156886;0.114817;0;0
code;0.0478056;0.0224936;0.0292512;0;0;0.0264731;0.0301907;0;0;0;0.0533118;0;0;0.0251256;0;0.088586;0;0
code source;0.0742857;0.047217;0.0540947;0.137037;0.0683719;0;0;0.0607157;0;0.0443299;0;0;0;0.0529432;0.0527983;0;0;0
fichier texte;0.125984;0.0968315;0;0;0;0.0972887;0;0.0951336;0;0.0900322;0.116137;0.0993297;0.100435;0.0949757;0.0941792;0.164493;0;0
texte;0;0.0528621;0;0;0.0709393;0.0484094;0;0;0.0690634;0.0470921;0.0743682;0.0457307;0.0777346;0;0;0;0;0.0530799
