X;C1;C11;C12;C13;C14;C15;C16;C17;C18;C19;C2;C3;C4;C5;C6;C7;C8;C9
page web;0.146917;0.179387;0.14354;0.15493;0.16252;0.143753;0;0.157231;0.138213;0.172449;0;0.138031;0;0.166052;0.18892;0;0.125216;0
page web statiques;0.000361011;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
navigateur;0.280832;0.410649;0.550101;0.180426;0.30497;0.741176;0.301623;0.347262;0.348276;0.617039;0.278499;0.590568;0.300507;0.439554;0.355071;0.182049;0.193408;0.377688
serveur web;0.218918;0.334342;0.372232;0.176121;0.291204;0.511575;0.273641;0.299452;0.305014;0.416274;0.209093;0.357574;0.234789;0.370791;0.346211;0;0;0.343856
fichier;0.280832;0.410649;0.550101;0.180426;0.30497;0.741176;0.301623;0.347262;0.348276;0.617039;0.278499;0.590568;0.300507;0.439554;0.355071;0.182049;0.193408;0.377688
disque dur;0.00574506;0;0;0;0;0;0;0.00465116;0;0.00262295;0;0;0;0;0.00454933;0.0088349;0;0
client;0.201439;0;0.259142;0.169077;0.191541;0.272354;0.207512;0.203764;0.208881;0.274338;0.221382;0.285441;0.223588;0.200166;0;0.189982;0.179236;0
client serveur;0.0965015;0.093967;0;0;0.106836;0.0834095;0.10844;0.0974155;0.0999006;0.0771807;0;0;0;0.0904996;0.112404;0;0;0.102384
base de donnée;0.209963;0.289319;0.330439;0.135924;0;0.360529;0.222607;0.250438;0.26481;0.302226;0;0.360953;0.228905;0.331321;0.296269;0.155408;0.168792;0.291746
donnée;0.243634;0.339148;0.429553;0.144524;0;0.516817;0.256971;0.296619;0.306286;0.414962;0.215833;0.476701;0.270022;0.365601;0.314961;0.181098;0.195252;0.329771
ensemble;0.00144248;0;0;0;0.00132846;0;0;0.00116686;0;0;0;0;0;0;0;0;0;0
php;0.280832;0.410649;0.550101;0.180426;0.30497;0.741176;0.301623;0.347262;0.348276;0.617039;0.278499;0.590568;0.300507;0.439554;0.355071;0.182049;0.193408;0.377688
javascript;0.218918;0.334342;0.372232;0.176121;0.291204;0.511575;0.273641;0.299452;0.305014;0.416274;0.209093;0.357574;0.234789;0.370791;0.346211;0;0;0.343856
perl;0.0581213;0.0611872;0.047114;0;0;0.0439662;0;0.0665429;0;0.0434036;0;0.0512359;0.0693485;0.0588109;0;0;0;0.0582619
python;0.0114245;0.00784122;0;0;0;0;0;0;0;0.00523218;0;0.00546541;0;0.00732936;0.00905746;0;0;0
