X;C1;C11;C12;C13;C14;C15;C16;C17;C18;C19;C2;C3;C4;C5;C6;C7;C8;C9
page web;0.0625;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
navigateur;0.117647;0;0;0;0;0;0;0;0.0666667;0;0;0;0;0;0;0;0;0
serveur web;0.0625;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
fichier;0;0;0;0;0;0.210526;0;0.172414;0;0.173913;0.166667;0;0;0;0;0;0;0
client;0;0;0;0.206897;0;0;0.205882;0;0.186047;0;0.205882;0;0;0.111111;0;0.235294;0.236842;0
base de donnée;0;0.157895;0;0;0;0.105263;0;0;0.125;0;0;0;0;0;0.230769;0;0;0
donnée;0;0.28;0;0;0;0.192308;0;0;0.243243;0;0;0;0;0;0.238095;0;0.105263;0.242424
php;0;0;0.227273;0;0;0;0;0;0;0;0.153846;0;0;0.266667;0;0.192308;0.125;0
javascript;0;0;0;0;0;0;0;0;0.0344828;0;0;0;0;0;0;0;0;0
code;0;0;0;0;0.210526;0;0;0.1875;0;0.148148;0;0.190476;0;0;0;0;0.1875;0
texte;0.117647;0;0;0.142857;0;0;0;0;0;0;0;0;0;0;0;0;0;0
concerner;0.0625;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
commentaire;0;0;0;0;0.230769;0;0;0.148148;0;0;0.136364;0;0;0;0;0;0;0
délimiter;0.117647;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0
gras;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0
fois;0;0;0;0;0;0;0;0.0769231;0;0;0;0;0;0;0;0;0.0769231;0
lien hypertextes;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0
url;0;0;0;0.142857;0;0;0;0;0;0;0;0;0;0;0;0.0952381;0;0
case à cocher;0;0;0;0;0;0;0.1;0;0;0;0.1;0;0;0;0;0;0;0
post;0.166667;0;0;0;0;0;0;0;0;0.25;0;0;0.117647;0;0;0.185185;0.193548;0
nombre;0.173913;0.232558;0;0.108696;0;0.155556;0;0.211538;0.288462;0;0.163265;0.111111;0;0;0.146341;0;0;0.265306
text;0;0;0;0.222222;0.1875;0;0;0;0;0;0;0;0;0;0;0;0.172414;0.137931
sélectionner;0;0.0666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
langage;0;0;0.117647;0;0;0;0;0;0;0;0;0;0;0;0;0.0952381;0;0
zones;0.117647;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.08
utilisateur;0.210526;0;0;0;0;0;0.181818;0;0;0.190476;0;0;0;0;0;0;0;0
affectation;0;0;0;0;0;0;0;0;0.0344828;0;0;0;0;0;0;0;0;0
syntaxe;0;0;0.117647;0;0;0;0;0.0769231;0;0;0;0;0;0;0;0;0;0
case;0;0;0;0;0;0;0;0;0.0666667;0;0;0;0;0;0;0.0952381;0;0
associer;0.0625;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
personne;0.117647;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2;0;0;0
structure de contrôle;0;0;0.0625;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
définition;0;0;0;0;0;0.0714286;0;0;0;0;0;0;0;0;0;0;0;0
méthode post;0;0;0.210526;0;0.133333;0;0;0;0;0;0;0;0.272727;0.25;0;0;0;0
