X ; page web bn:00080778n ; navigateur bn:00013447n ; serveur web bn:02705179n ; fichier bn:00021475n ; client bn:00019764n ; base de donnée bn:00025333n ; donnée bn:00025314n ; php bn:01753580n ; code bn:00020354n ; texte bn:00076732n ; concerner bn:00083240v ; commentaire bn:00020978n ; délimiter bn:00086464v ; fois bn:00032768n ; url bn:00079080n ; case à cocher bn:03157691n ; post bn:01500184n ; nombre bn:00058285n ; text bn:14981519n ; langage bn:00049910n ; zones bn:00005513n ; utilisateur bn:00079373n ; case bn:04777941n ; associer bn:00082868v ; personne bn:00046516n ; méthode post bn:00045088n ; fermeture bn:16858148n ; machine bn:00054050n ; mysql bn:01225760n ; salaire bn:15928884n ; jour bn:00000086n ; programmation bn:00021493n ; site bn:00047172n ; france bn:00036202n ; langage de script bn:01431715n ; interpréter bn:00089840v ; côté serveur bn:03816678n ; serveur bn:00044916n ; côté client bn:03163702n ; typage bn:00016413n ; foreach bn:03463379n ; pointeur bn:03222272n ; list bn:04720346n ; casse bn:03225002n ; méthode bn:01641329n ; cle bn:04756252n ; mot bn:00081546n ; timestamp bn:03603649n ; session bn:03751534n ; chaîne bn:00074685n ; opérateur bn:16281811n ; classe bn:03608262n ; moteur bn:00030850n ; xml bn:02771436n ; entête bn:00043309n ; echo bn:03626250n ; files bn:00065682n ; class bn:03598962n ; affiche bn:00087013v ; configuration bn:03088982n ; insert bn:03795444n ; varchar bn:01838409n ; transaction bn:01403911n ; valeur bn:00079508n ; visiteur bn:03106425n ; composer bn:14766022n ; doctype bn:15839327n ; mysqli bn:01438356n ; null bn:15898583n ; généralité bn:00041249n ; autre bn:00108013a ; avoir accès bn:00082209v ; bienvenue bn:00080852n ; paris bn:00015540n
concerner bn:00083240v ; 0.222222 ; 0.190476 ; 0.235294 ; 0.08 ; 0.125 ; 0.5 ; 0.333333 ; 0.153846 ; 0.17284 ; 0.35 ; 1 ; 0.115942 ; 0.222222 ; 0.181818 ; 0.153846 ; 0.1 ; 0.16 ; 0.2 ; 0.228571 ; 0.0776699 ; 0.142857 ; 0.363636 ; 0.0740741 ; 0.222222 ; 0.16 ; 0.140351 ; 0.149533 ; 0.285714 ; 0.571429 ; 0.0344828 ; 0.125 ; 0.109589 ; 0.16 ; 0.0344828 ; 0.125 ; 0.0666667 ; 0.222222 ; 0.228571 ; 0.285714 ; 0.571429 ; 0.235294 ; 0.0714286 ; 0.0588235 ; 0.0714286 ; 0.184211 ; 0.1 ; 0.380952 ; 0.125 ; 0.571429 ; 0.1 ; 0.0714286 ; 0.222222 ; 0.285714 ; 0.142857 ; 0.125 ; 0.0714286 ; 0.142857 ; 0.0666667 ; 0.285714 ; 0.0666667 ; 0.0588235 ; 0.142857 ; 0.142857 ; 0.0714286 ; 0.125 ; 0.142857 ; 0.0588235 ; 0.0666667 ; 0.0666667 ; 0.0714286 ; 0.0714286 ; 0.0666667 ; 0.0714286 ; 0.0344828
commentaire bn:00020978n ; 0.140351 ; 0.152381 ; 0.179775 ; 0.209677 ; 0.163265 ; 0.145455 ; 0.115942 ; 0.246154 ; 0.16 ; 0.141593 ; 0.115942 ; 1 ; 0.140351 ; 0.146789 ; 0.653061 ; 0.140351 ; 0.112676 ; 0.145455 ; 0.175824 ; 0.245283 ; 0.0392157 ; 0.246154 ; 0.112676 ; 0.140351 ; 0.612245 ; 0.102564 ; 0.515789 ; 0.0754717 ; 0.140351 ; 0.0408163 ; 0.0754717 ; 0.186047 ; 0.253968 ; 0.02 ; 0.0363636 ; 0.0816327 ; 0.140351 ; 0.38961 ; 0.0754717 ; 0.0655738 ; 0.179775 ; 0.0408163 ; 0.0754717 ; 0.0408163 ; 0.168421 ; 0.140351 ; 0.112676 ; 0.0363636 ; 0.140351 ; 0.140351 ; 0.0408163 ; 0.140351 ; 0.0754717 ; 0.0392157 ; 0.0754717 ; 0.02 ; 0.0192308 ; 0.0816327 ; 0.0754717 ; 0.0816327 ; 0.163265 ; 0.0816327 ; 0.0816327 ; 0.0408163 ; 0.0754717 ; 0.0392157 ; 0.163265 ; 0.0816327 ; 0.0816327 ; 0.02 ; 0.02 ; 0.0392157 ; 0.02 ; 0.0408163
délimiter bn:00086464v ; 0.333333 ; 0.1 ; 0.125 ; 0.105263 ; 0.2 ; 0.153846 ; 0.1 ; 0.2 ; 0.0506329 ; 0.0909091 ; 0.222222 ; 0.140351 ; 1 ; 0.0454545 ; 0.0909091 ; 0.142857 ; 0.0952381 ; 0.153846 ; 0.121212 ; 0.0879121 ; 0.25 ; 0.2 ; 0.0952381 ; 0.142857 ; 0.210526 ; 0.177778 ; 0.168421 ; 0.2 ; 0.333333 ; 0.125 ; 0.2 ; 0.0615385 ; 0.0952381 ; 0.0588235 ; 0.0909091 ; 0.111111 ; 0.142857 ; 0.275862 ; 0.2 ; 0.142857 ; 0.125 ; 0.125 ; 0.0909091 ; 0.0588235 ; 0.114286 ; 0.142857 ; 0.210526 ; 0.0909091 ; 0.333333 ; 0.142857 ; 0.125 ; 0.142857 ; 0.2 ; 0.25 ; 0.2 ; 0.125 ; 0.111111 ; 0.0526316 ; 0.5 ; 0.111111 ; 0.2 ; 0.111111 ; 0.111111 ; 0.125 ; 0.5 ; 0.25 ; 0.2 ; 0.0526316 ; 0.0526316 ; 0.125 ; 0.125 ; 0.111111 ; 0.125 ; 0.0588235
fois bn:00032768n ; 0.0952381 ; 0.45098 ; 0.294118 ; 0.186047 ; 0.05 ; 0.097561 ; 0.181818 ; 0.173913 ; 0.361905 ; 0.418182 ; 0.181818 ; 0.146789 ; 0.0454545 ; 1 ; 0.173913 ; 0.0952381 ; 0.394737 ; 0.0465116 ; 0.313725 ; 0.574257 ; 0.0526316 ; 0.173913 ; 0.394737 ; 0.210526 ; 0.0816327 ; 0.269663 ; 0.230216 ; 0.105263 ; 0.0952381 ; 0.012987 ; 0.105263 ; 0.29 ; 0.177778 ; 0.0263158 ; 0.105263 ; 0.025641 ; 0.210526 ; 0.135593 ; 0.105263 ; 0.210526 ; 0.294118 ; 0.0263158 ; 0.105263 ; 0.0263158 ; 0.2 ; 0.0952381 ; 0.177778 ; 0.105263 ; 0.0952381 ; 0.0952381 ; 0.0263158 ; 0.210526 ; 0.105263 ; 0.0526316 ; 0.105263 ; 0.0263158 ; 0.0526316 ; 0.0526316 ; 0.05 ; 0.0526316 ; 0.05 ; 0.0526316 ; 0.0526316 ; 0.0263158 ; 0.05 ; 0.025641 ; 0.0243902 ; 0.0526316 ; 0.0526316 ; 0.0263158 ; 0.0263158 ; 0.0526316 ; 0.0263158 ; 0.0263158
url bn:00079080n ; 0.0909091 ; 0.0833333 ; 0.222222 ; 0.16 ; 0.25 ; 0.210526 ; 0.153846 ; 0.333333 ; 0.192771 ; 0.166667 ; 0.153846 ; 0.653061 ; 0.0909091 ; 0.173913 ; 1 ; 0.2 ; 0.148148 ; 0.0952381 ; 0.216216 ; 0.161616 ; 0.0588235 ; 0.333333 ; 0.148148 ; 0.2 ; 0.347826 ; 0.0615385 ; 0.336842 ; 0.111111 ; 0.2 ; 0.030303 ; 0.111111 ; 0.231884 ; 0.347826 ; 0.030303 ; 0.0526316 ; 0.0588235 ; 0.2 ; 0.216216 ; 0.111111 ; 0.0909091 ; 0.222222 ; 0.0625 ; 0.111111 ; 0.0625 ; 0.0930233 ; 0.2 ; 0.148148 ; 0.0526316 ; 0.2 ; 0.0909091 ; 0.0625 ; 0.2 ; 0.111111 ; 0.0588235 ; 0.111111 ; 0.030303 ; 0.0285714 ; 0.125 ; 0.111111 ; 0.125 ; 0.111111 ; 0.125 ; 0.125 ; 0.0625 ; 0.0526316 ; 0.0588235 ; 0.111111 ; 0.125 ; 0.125 ; 0.030303 ; 0.030303 ; 0.0588235 ; 0.030303 ; 0.0625
case à cocher bn:03157691n ; 0.0666667 ; 0.047619 ; 0.125 ; 0.235294 ; 0.2 ; 0.0714286 ; 0.047619 ; 0.5 ; 0.238806 ; 0.0909091 ; 0.1 ; 0.140351 ; 0.142857 ; 0.0952381 ; 0.2 ; 1 ; 0.0952381 ; 0.0714286 ; 0.121212 ; 0.0879121 ; 0.111111 ; 0.2 ; 0.210526 ; 0.142857 ; 0.0952381 ; 0.0816327 ; 0.168421 ; 0.0909091 ; 0.142857 ; 0.0588235 ; 0.2 ; 0.301887 ; 0.0952381 ; 0.0588235 ; 0.0909091 ; 0.0526316 ; 0.142857 ; 0.121212 ; 0.0909091 ; 0.0666667 ; 0.125 ; 0.0588235 ; 0.0909091 ; 0.0588235 ; 0.114286 ; 0.142857 ; 0.0952381 ; 0.0909091 ; 0.142857 ; 0.142857 ; 0.0588235 ; 0.142857 ; 0.0909091 ; 0.111111 ; 0.2 ; 0.125 ; 0.111111 ; 0.111111 ; 0.2 ; 0.111111 ; 0.0909091 ; 0.0526316 ; 0.0526316 ; 0.0588235 ; 0.0909091 ; 0.25 ; 0.2 ; 0.111111 ; 0.111111 ; 0.125 ; 0.125 ; 0.25 ; 0.125 ; 0.125
post bn:01500184n ; 0.210526 ; 0.416667 ; 0.535714 ; 0.166667 ; 0.0555556 ; 0.1 ; 0.16 ; 0.148148 ; 0.182927 ; 0.375 ; 0.16 ; 0.112676 ; 0.0952381 ; 0.394737 ; 0.148148 ; 0.0952381 ; 1 ; 0.047619 ; 0.222222 ; 0.361446 ; 0.133333 ; 0.347826 ; 0.363636 ; 0.533333 ; 0.153846 ; 0.313725 ; 0.146789 ; 0.266667 ; 0.210526 ; 0.0322581 ; 0.117647 ; 0.220588 ; 0.153846 ; 0.0666667 ; 0.266667 ; 0.0625 ; 0.533333 ; 0.222222 ; 0.266667 ; 0.210526 ; 0.535714 ; 0.0666667 ; 0.266667 ; 0.0666667 ; 0.194805 ; 0.210526 ; 0.363636 ; 0.266667 ; 0.210526 ; 0.210526 ; 0.0666667 ; 0.533333 ; 0.266667 ; 0.133333 ; 0.266667 ; 0.0666667 ; 0.0625 ; 0.133333 ; 0.117647 ; 0.133333 ; 0.117647 ; 0.133333 ; 0.133333 ; 0.0666667 ; 0.117647 ; 0.0625 ; 0.0555556 ; 0.133333 ; 0.133333 ; 0.0666667 ; 0.0666667 ; 0.133333 ; 0.0666667 ; 0.0666667
nombre bn:00058285n ; 0.153846 ; 0.102564 ; 0.0606061 ; 0.111111 ; 0.1 ; 0.333333 ; 0.2 ; 0.0454545 ; 0.0945946 ; 0.0804598 ; 0.2 ; 0.145455 ; 0.153846 ; 0.0465116 ; 0.0952381 ; 0.0714286 ; 0.047619 ; 1 ; 0.0588235 ; 0.0430108 ; 0.0588235 ; 0.0952381 ; 0.0232558 ; 0.0714286 ; 0.222222 ; 0.0851064 ; 0.0792079 ; 0.1 ; 0.153846 ; 0.142857 ; 0.047619 ; 0.0634921 ; 0.1 ; 0.0666667 ; 0.1 ; 0.285714 ; 0.0714286 ; 0.125 ; 0.1 ; 0.153846 ; 0.0606061 ; 0.0666667 ; 0.047619 ; 0.142857 ; 0.225806 ; 0.0714286 ; 0.1 ; 0.1 ; 0.153846 ; 0.153846 ; 0.0666667 ; 0.0714286 ; 0.1 ; 0.0588235 ; 0.047619 ; 0.0666667 ; 0.125 ; 0.125 ; 0.1 ; 0.0588235 ; 0.1 ; 0.125 ; 0.125 ; 0.0666667 ; 0.1 ; 0.125 ; 0.222222 ; 0.125 ; 0.125 ; 0.0666667 ; 0.0666667 ; 0.0588235 ; 0.0666667 ; 0.0666667
text bn:14981519n ; 0.121212 ; 0.140351 ; 0.357143 ; 0.105263 ; 0.137931 ; 0.125 ; 0.228571 ; 0.216216 ; 0.302083 ; 0.277778 ; 0.228571 ; 0.175824 ; 0.121212 ; 0.313725 ; 0.216216 ; 0.121212 ; 0.222222 ; 0.0588235 ; 1 ; 0.293578 ; 0.0689655 ; 0.216216 ; 0.222222 ; 0.121212 ; 0.1 ; 0.091954 ; 0.264463 ; 0.137931 ; 0.275862 ; 0.0169492 ; 0.137931 ; 0.353659 ; 0.517241 ; 0.0344828 ; 0.137931 ; 0.0333333 ; 0.121212 ; 0.16 ; 0.137931 ; 0.121212 ; 0.357143 ; 0.0344828 ; 0.0645161 ; 0.0344828 ; 0.142857 ; 0.121212 ; 0.517241 ; 0.137931 ; 0.275862 ; 0.0571429 ; 0.0344828 ; 0.121212 ; 0.137931 ; 0.0689655 ; 0.0645161 ; 0.0344828 ; 0.0333333 ; 0.0333333 ; 0.137931 ; 0.0333333 ; 0.03125 ; 0.0689655 ; 0.0689655 ; 0.0344828 ; 0.0645161 ; 0.0689655 ; 0.03125 ; 0.0333333 ; 0.0333333 ; 0.0344828 ; 0.0344828 ; 0.0333333 ; 0.0344828 ; 0.0169492
langage bn:00049910n ; 0.192771 ; 0.47619 ; 0.275229 ; 0.313253 ; 0.045977 ; 0.0430108 ; 0.0776699 ; 0.161616 ; 0.239669 ; 0.225564 ; 0.0776699 ; 0.245283 ; 0.0879121 ; 0.574257 ; 0.161616 ; 0.0879121 ; 0.361446 ; 0.0430108 ; 0.293578 ; 1 ; 0.0481928 ; 0.161616 ; 0.361446 ; 0.192771 ; 0.164948 ; 0.276596 ; 0.412698 ; 0.0963855 ; 0.0879121 ; 0.0240964 ; 0.0963855 ; 0.271028 ; 0.164948 ; 0.0240964 ; 0.0963855 ; 0.0481928 ; 0.192771 ; 0.293578 ; 0.0963855 ; 0.0879121 ; 0.275229 ; 0.0240964 ; 0.0963855 ; 0.0240964 ; 0.208333 ; 0.0879121 ; 0.164948 ; 0.0963855 ; 0.0879121 ; 0.192771 ; 0.0240964 ; 0.192771 ; 0.0963855 ; 0.0481928 ; 0.0963855 ; 0.0240964 ; 0.0235294 ; 0.0481928 ; 0.045977 ; 0.0481928 ; 0.0963855 ; 0.0481928 ; 0.0481928 ; 0.0240964 ; 0.0963855 ; 0.0235294 ; 0.045977 ; 0.0481928 ; 0.0481928 ; 0.0240964 ; 0.0240964 ; 0.0481928 ; 0.0240964 ; 0.0240964
