cours;0.0;0.0;0.0;"(0, 4)";bn:00023310n
verser;0.0;0.0;0.0;"(10, 15)";bn:00085465v
matière;0.0;0.0;0.0;"(49, 55)";bn:00053867n
introduction;0.0;0.0;0.0;"(59, 70)";bn:00050344n
historique;0.0;0.0;0.0;"(361, 370)";bn:00104223a
utilisation;0.0;0.0;0.0;"(509, 519)";bn:00030627n
pratique;0.0;0.0;0.0;"(521, 528)";bn:00028736n
statiques;0.8571428571428571;0.029411764705882353;2.1828977239653066E-5;"(657, 665)";bn:00111112a
cgi;1.0;0.00980392156862745;1.8190814366377553E-6;"(787, 789)";bn:01862131n
dynamiques;0.7142857142857143;0.0392156862745098;3.6381628732755105E-5;"(930, 939)";bn:00101917a
préférer;0.0;0.0;0.0;"(1057, 1064)";bn:00088060v
autres;0.0;0.0;0.0;"(1074, 1079)";bn:00101268a
devoir;0.0;0.0;0.0;"(1157, 1162)";bn:00091360v
connaître;0.0;0.0;0.0;"(1164, 1172)";bn:00082272v
nécessaire;0.8;0.049019607843137254;7.276325746551021E-5;"(1274, 1283)";bn:00107182a
nécessaire;0.8;0.049019607843137254;7.276325746551021E-5;"(1413, 1422)";bn:00107182a
client;0.0;0.0;0.0;"(1424, 1429)";bn:00019763n
présentation;0.0;0.0;0.0;"(1687, 1698)";bn:00064213n
syntaxe;0.0;0.0;0.0;"(1831, 1837)";bn:00062118n
intégration;0.0;0.0;0.0;"(1966, 1976)";bn:00022007n
instructions;0.0;0.0;0.0;"(2118, 2129)";bn:00020945n
"bloc d";1.0;0.00980392156862745;1.8190814366377553E-6;"(2244, 2249)";bn:00011313n
instructions;0.0;0.0;0.0;"(2251, 2262)";bn:00020945n
travailler;0.0;0.0;0.0;"(2527, 2536)";bn:00095812v
variables;0.0;0.0;0.0;"(2543, 2551)";bn:00079582n
déclarer;0.0;0.0;0.0;"(2667, 2674)";bn:00082638v
variable;0.0;0.0;0.0;"(2679, 2686)";bn:00079582n
variables;0.0;0.0;0.0;"(2813, 2821)";bn:00079582n
variables;0.0;0.0;0.0;"(2943, 2951)";bn:00079582n
prédéfinies;0.0;0.0;0.0;"(2953, 2963)";bn:13699822a
variables;0.0;0.0;0.0;"(3083, 3091)";bn:00079582n
variables;0.0;0.0;0.0;"(3229, 3237)";bn:00079582n
entiers;0.0;0.0;0.0;"(3505, 3511)";bn:00103393a
caractères;0.0;0.0;0.0;"(3796, 3805)";bn:00017748n
tableaux;0.0;0.0;0.0;"(3919, 3926)";bn:00011012n
variable;0.0;0.0;0.0;"(4054, 4061)";bn:00113501a
objet;0.0;0.0;0.0;"(4063, 4067)";bn:00058442n
constantes;0.7272727272727273;0.0196078431372549;1.4552651493102043E-5;"(4187, 4196)";bn:00100331a
obtenir;0.0;0.0;0.0;"(4327, 4333)";bn:00091124v
"type d";0.0;0.0;0.0;"(4335, 4340)";bn:01681653n
variable;0.0;0.0;0.0;"(4346, 4353)";bn:00079582n
définir;0.0;0.0;0.0;"(4460, 4466)";bn:00086464v
variable;0.0;0.0;0.0;"(4481, 4488)";bn:00079582n
opérateurs;0.0;0.0;0.0;"(4587, 4596)";bn:00059141n
opérateurs;0.0;0.0;0.0;"(4746, 4755)";bn:00059141n
opérateur;0.0;0.0;0.0;"(4862, 4870)";bn:00059141n
