département;0.0;0.0;0.0;"(0, 10)";bn:00026309n
formulaire;0.0;0.0;0.0;"(36, 45)";bn:14352118n
css;1.0;0.037037037037037035;5.781937689213911E-5;"(68, 70)";bn:00056944n
conception;0.0;0.0;0.0;"(101, 110)";bn:00026535n
développer;0.0;0.0;0.0;"(112, 121)";bn:00082282v
application;0.0;0.0;0.0;"(123, 133)";bn:00005092n
"juin 2005";1.0;0.007407407407407408;2.3127750756855643E-6;"(172, 180)";bn:00704251n
centre;0.0;0.0;0.0;"(182, 187)";bn:00017121n
formation;0.0;0.0;0.0;"(194, 202)";bn:00041853n
informatique;1.0;0.037037037037037035;5.781937689213911E-5;"(208, 219)";bn:00100175a
publier;0.0;0.0;0.0;"(240, 246)";bn:00084099v
web;0.0;0.0;0.0;"(252, 254)";bn:00080778n
remarque;0.0;0.0;0.0;"(275, 282)";bn:00091096v
améliorer;0.0;0.0;0.0;"(289, 297)";bn:00082573v
note;0.0;0.0;0.0;"(299, 302)";bn:00035726n
être;0.0;0.0;0.0;"(304, 307)";bn:00083187v
bienvenues;1.0;0.022222222222222223;2.081497568117008E-5;"(309, 318)";bn:00113770a
pouvoir;0.8;0.014814814814814815;9.251100302742257E-6;"(321, 327)";bn:00084451v
envoyer;0.0;0.0;0.0;"(329, 335)";bn:00093485v
publier;0.0;0.0;0.0;"(407, 413)";bn:00084099v
web;0.0;0.0;0.0;"(419, 421)";bn:00080778n
table;0.0;0.0;0.0;"(442, 446)";bn:00075813n
matière;0.0;0.0;0.0;"(448, 454)";bn:00053867n
formulaire;0.0;0.0;0.0;"(459, 468)";bn:14352118n
introduction;0.0;0.0;0.0;"(559, 570)";bn:00050344n
formulaire;0.0;0.0;0.0;"(722, 731)";bn:14352118n
attribut;0.0;0.0;0.0;"(867, 874)";bn:02910696n
importants;0.0;0.0;0.0;"(876, 885)";bn:00104680a
contenu;0.0;0.0;0.0;"(1043, 1049)";bn:00022154n
formulaire;0.0;0.0;0.0;"(1051, 1060)";bn:14352118n
attribut;0.0;0.0;0.0;"(1373, 1380)";bn:02910696n
importants;0.0;0.0;0.0;"(1382, 1391)";bn:00104680a
attribut;0.0;0.0;0.0;"(1685, 1692)";bn:02910696n
importants;0.0;0.0;0.0;"(1694, 1703)";bn:00104680a
attribut;0.0;0.0;0.0;"(1842, 1849)";bn:02910696n
importants;0.0;0.0;0.0;"(1851, 1860)";bn:00104680a
élément;0.0;0.0;0.0;"(1867, 1873)";bn:00021394n
option;0.0;0.0;0.0;"(1876, 1881)";bn:00059228n
champ;0.0;0.0;0.0;"(2144, 2148)";bn:00034265n
champ;0.0;0.0;0.0;"(2306, 2310)";bn:00034265n
spécial;0.0;0.0;0.0;"(2318, 2324)";bn:00102635a
passe;0.0;0.0;0.0;"(2333, 2337)";bn:00091458v
champ;0.0;0.0;0.0;"(2450, 2454)";bn:00034265n
spécial;0.0;0.0;0.0;"(2462, 2468)";bn:00102635a
référence;0.0;0.0;0.0;"(2470, 2478)";bn:00063236n
envoi;0.0;0.0;0.0;"(2926, 2930)";bn:00031082n
envoi;0.0;0.0;0.0;"(3084, 3088)";bn:00031082n
champ;0.0;0.0;0.0;"(3543, 3547)";bn:00034265n
cacher;0.0;0.0;0.0;"(3549, 3554)";bn:00085509v
attribut;0.0;0.0;0.0;"(3695, 3702)";bn:02910696n
vs;1.0;0.007407407407407408;2.3127750756855643E-6;"(3704, 3705)";bn:15435663n
methodes;1.0;0.022222222222222223;2.081497568117008E-5;"(3707, 3714)";bn:00243493n
gestion;0.0;0.0;0.0;"(3848, 3854)";bn:00053116n
élément;0.0;0.0;0.0;"(3994, 4000)";bn:00021394n
transmission;0.0;0.0;0.0;"(4011, 4022)";bn:00078024n
élément;0.0;0.0;0.0;"(4146, 4152)";bn:00021394n
élément;0.0;0.0;0.0;"(4321, 4327)";bn:00021394n
élément;0.0;0.0;0.0;"(4498, 4504)";bn:00021394n
autres;0.0;0.0;0.0;"(4673, 4678)";bn:00101268a
