X ; C1 ; C11 ; C12 ; C13 ; C14 ; C15 ; C16 ; C17 ; C18 ; C19 ; C2 ; C3 ; C4 ; C5 ; C6 ; C7 ; C8 ; C9
page web statiques bn:03576307n ; 0.000311042 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
disque dur bn:00073359n ; 0.00404355 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00404355 ; 0 ; 0.00497667 ; 0 ; 0 ; 0 ; 0 ; 0.00404355 ; 0.0037325 ; 0 ; 0
client serveur bn:03496583n ; 0.0376361 ; 0.0914463 ; 0 ; 0 ; 0.0559876 ; 0.111664 ; 0.059409 ; 0.0780715 ; 0.0587869 ; 0.0948678 ; 0 ; 0 ; 0 ; 0.0749611 ; 0.0836703 ; 0 ; 0 ; 0.0749611
ensemble bn:00114766r ; 0.00124417 ; 0 ; 0 ; 0 ; 0.00124417 ; 0 ; 0 ; 0.00124417 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
perl bn:01723165n ; 0.0357698 ; 0.0656299 ; 0.0684292 ; 0 ; 0 ; 0.0877138 ; 0 ; 0.0687403 ; 0 ; 0.0793157 ; 0 ; 0.0771384 ; 0.051944 ; 0.0678072 ; 0 ; 0 ; 0 ; 0.0615863
python bn:01713224n ; 0.00746501 ; 0.00870918 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00933126 ; 0 ; 0.00808709 ; 0 ; 0.00808709 ; 0.00808709 ; 0 ; 0 ; 0
java bn:00048043n ; 0.0398134 ; 0 ; 0.103266 ; 0.0410575 ; 0.0646967 ; 0.131882 ; 0.059098 ; 0.0979782 ; 0 ; 0.12224 ; 0.0494557 ; 0.0995334 ; 0 ; 0.0874028 ; 0.100467 ; 0.0255054 ; 0 ; 0
code source bn:00072947n ; 0.0230171 ; 0.0391913 ; 0.0382582 ; 0.0258165 ; 0.0332815 ; 0 ; 0 ; 0.0391913 ; 0 ; 0.0435459 ; 0 ; 0 ; 0 ; 0.0363919 ; 0.0391913 ; 0 ; 0 ; 0
fichier texte bn:00028018n ; 0.0363919 ; 0.0671851 ; 0 ; 0 ; 0 ; 0.081493 ; 0 ; 0.0618974 ; 0 ; 0.0836703 ; 0.0342146 ; 0.0699844 ; 0.0416796 ; 0.0640747 ; 0.0637636 ; 0.0261275 ; 0 ; 0
mise en forme bn:01681906n ; 0.00870918 ; 0.0180404 ; 0 ; 0.0124417 ; 0.0161742 ; 0.0199067 ; 0 ; 0 ; 0.0121306 ; 0.0211509 ; 0 ; 0 ; 0.0139969 ; 0 ; 0 ; 0 ; 0 ; 0
affichage bn:00010421n ; 0.0562986 ; 0.211509 ; 0.20311 ; 0 ; 0.132193 ; 0.313841 ; 0.118196 ; 0 ; 0.140591 ; 0.274961 ; 0.0824261 ; 0.213997 ; 0.123795 ; 0.178849 ; 0.207465 ; 0.0475894 ; 0 ; 0.194401
chemin bn:03131414n ; 0.0124417 ; 0 ; 0 ; 0 ; 0 ; 0.0167963 ; 0 ; 0.0161742 ; 0 ; 0.0167963 ; 0 ; 0 ; 0 ; 0.0143079 ; 0.0155521 ; 0 ; 0 ; 0.0143079
textuels bn:00111786a ; 0.000311042 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
page web dynamique bn:00937946n ; 0.00217729 ; 0 ; 0 ; 0.00217729 ; 0 ; 0 ; 0 ; 0.00248834 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00217729 ; 0 ; 0 ; 0
champ de saisie bn:03113401n ; 0.0152411 ; 0.0314152 ; 0 ; 0.0155521 ; 0.0239502 ; 0.037325 ; 0 ; 0 ; 0 ; 0.0348367 ; 0.0167963 ; 0 ; 0.0183515 ; 0 ; 0 ; 0 ; 0.0118196 ; 0.0205288
size bn:03645138n ; 0.00342146 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00497667 ; 0 ; 0.00404355 ; 0 ; 0.00404355 ; 0 ; 0 ; 0.0037325 ; 0
vide bn:00087578v ; 0.00124417 ; 0.00124417 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00124417 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
liste déroulante bn:00028831n ; 0.00186625 ; 0.00248834 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00186625 ; 0 ; 0.00217729 ; 0 ; 0 ; 0
