X ; C1 ; C11 ; C12 ; C13 ; C14 ; C15 ; C16 ; C17 ; C18 ; C19 ; C2 ; C3 ; C4 ; C5 ; C6 ; C7 ; C8 ; C9
page web bn:00080778n ; 0 ; 0.162486 ; 0.178651 ; 0.149656 ; 0.15748 ; 0.146771 ; 0 ; 0.167982 ; 0.161884 ; 0.160785 ; 0 ; 0.144112 ; 0 ; 0.155177 ; 0.171566 ; 0 ; 0.124372 ; 0
page web statiques bn:03576307n ; 0.000844595 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
navigateur bn:00013447n ; 0 ; 0.00525624 ; 0 ; 0 ; 0 ; 0.00461361 ; 0 ; 0.00685812 ; 0 ; 0.00427008 ; 0 ; 0 ; 0.00988264 ; 0 ; 0 ; 0 ; 0 ; 0
serveur web bn:02705179n ; 0 ; 0.376261 ; 0.342284 ; 0.100486 ; 0.284579 ; 0.423654 ; 0.256179 ; 0.351141 ; 0.299463 ; 0.438373 ; 0.160258 ; 0.368832 ; 0.247942 ; 0.360677 ; 0.378312 ; 0 ; 0 ; 0.393562
fichier bn:00021475n ; 0 ; 0.032175 ; 0.0373686 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0395648 ; 0 ; 0 ; 0.0267239 ; 0.0482069 ; 0.0314961 ; 0 ; 0.11204 ; 0.0938897 ; 0
disque dur bn:00073359n ; 0.0133445 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00685812 ; 0 ; 0.00427008 ; 0 ; 0 ; 0 ; 0 ; 0.00595681 ; 0.0319361 ; 0 ; 0
client serveur bn:03496583n ; 0.163369 ; 0.143094 ; 0 ; 0 ; 0.174534 ; 0.131448 ; 0.177832 ; 0.15777 ; 0.173829 ; 0.148517 ; 0 ; 0 ; 0 ; 0.148539 ; 0.153494 ; 0 ; 0 ; 0.164476
base de donnée bn:00025333n ; 0.00671704 ; 0 ; 0 ; 0.0131579 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0142349 ; 0.00277393
donnée bn:00025314n ; 0.00336984 ; 0 ; 0 ; 0.00662252 ; 0 ; 0 ; 0 ; 0.0017234 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
ensemble bn:00114766r ; 0.00336984 ; 0 ; 0 ; 0 ; 0.00215633 ; 0 ; 0 ; 0.0017234 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
