X ; C1 ; C11 ; C12 ; C13 ; C14 ; C15 ; C16 ; C17 ; C18 ; C19 ; C2 ; C3 ; C4 ; C5 ; C6 ; C7 ; C8 ; C9
page web bn:00080778n ; 0.030303 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
navigateur bn:00013447n ; 0.214286 ; 0.259259 ; 0 ; 0 ; 0 ; 0.254545 ; 0 ; 0.173913 ; 0.141026 ; 0.175439 ; 0 ; 0 ; 0.25 ; 0 ; 0 ; 0 ; 0 ; 0
serveur web bn:02705179n ; 0.030303 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
fichier bn:00021475n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.196429 ; 0 ; 0.253968 ; 0 ; 0.181818 ; 0.12963 ; 0.217391 ; 0.235294 ; 0 ; 0 ; 0.214286 ; 0 ; 0
client bn:00019764n ; 0 ; 0 ; 0 ; 0.195652 ; 0 ; 0 ; 0.170732 ; 0 ; 0.15942 ; 0 ; 0.2 ; 0 ; 0 ; 0.0967742 ; 0 ; 0.173077 ; 0.208333 ; 0
base de donnée bn:00025333n ; 0.190476 ; 0.271186 ; 0 ; 0.183333 ; 0 ; 0.151515 ; 0 ; 0 ; 0.28 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.270833 ; 0 ; 0.174603 ; 0.35
donnée bn:00025314n ; 0 ; 0.195652 ; 0 ; 0 ; 0 ; 0.12 ; 0 ; 0 ; 0.1875 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.242424 ; 0 ; 0.102041 ; 0.270833
php bn:01753580n ; 0.145833 ; 0 ; 0.128205 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.173913 ; 0.162791 ; 0 ; 0 ; 0.153846 ; 0 ; 0.212766 ; 0.173913 ; 0
javascript bn:00055423n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0185185 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
code bn:00020354n ; 0 ; 0 ; 0 ; 0 ; 0.173913 ; 0 ; 0 ; 0.132075 ; 0 ; 0.121951 ; 0 ; 0.15625 ; 0 ; 0 ; 0 ; 0 ; 0.15 ; 0
texte bn:00076732n ; 0.195122 ; 0.166667 ; 0 ; 0.153846 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.157895 ; 0 ; 0.179487 ; 0 ; 0 ; 0 ; 0 ; 0
concerner bn:00083240v ; 0.030303 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
