X;page web;navigateur;serveur web;fichier;client;base de donnée;donnée;php;javascript;code;texte;concerner;commentaire;délimiter;gras;fois;lien hypertextes;url;case à cocher;post;nombre;text;langage;zones;utilisateur;affectation;syntaxe;case;associer;personne;structure de contrôle;méthode post;fermeture;passwd;machine;mysql;salaire;jour;programmation;site;paris;france;programmation web;session;chaîne;côté serveur;côté client;script;interpréter;serveur;type;opérateurs;list;pointeur;cle;méthode;conditionnelles;foreach;couleurs;valeur par défaut;classes;fonctionnalité;class;header;mot;visiteur;sauvegarder;null;web;positionnement;affiche;casse;internet;système;exe;menu;id;mysqli;head;attribut;valeur;moteur;timestamp;accéder
page web;1;0.25;1;0.037037;0.037037;0.0909091;0.0909091;0.125;0.333333;0.2;0.5;1;0.2;0.5;0.333333;0.333333;0.333333;0.2;0.2;0.166667;0.1;0.0833333;0.2;0.5;0.5;0.333333;0.333333;0.2;1;1;0.333333;0.222222;0.333333;0.333333;1;0.153846;1;0.333333;0.2;0.0434783;0.333333;0.333333;0.2;0.333333;0.111111;0.333333;0.333333;0.0526316;0.333333;0.0833333;0.05;0.333333;0.333333;0.333333;0.2;0.333333;0.333333;0.125;0.333333;0.333333;0.2;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333
navigateur;0.25;1;0.25;0.133333;0.0625;0.153846;0.153846;0.0909091;0.25;0.0909091;0.2;0.25;0.0909091;0.2;0.111111;0.111111;0.111111;0.0909091;0.0909091;0.25;0.166667;0.0555556;0.0909091;0.2;0.2;0.25;0.111111;0.2;0.25;0.25;0.111111;0.307692;0.111111;0.111111;0.25;0.235294;0.25;0.111111;0.0909091;0.0714286;0.111111;0.111111;0.0909091;0.111111;0.142857;0.111111;0.111111;0.181818;0.111111;0.117647;0.08;0.111111;0.25;0.111111;0.2;0.111111;0.25;0.0714286;0.111111;0.25;0.0909091;0.111111;0.111111;0.2;0.111111;0.111111;0.111111;0.25;0.0909091;0.25;0.111111;0.111111;0.111111;0.111111;0.111111;0.111111;0.111111;0.111111;0.111111;0.111111;0.111111;0.111111;0.111111;0.111111
serveur web;1;0.25;1;0.037037;0.037037;0.0909091;0.0909091;0.125;0.333333;0.2;0.5;1;0.2;0.5;0.333333;0.333333;0.333333;0.2;0.2;0.166667;0.1;0.0833333;0.2;0.5;0.5;0.333333;0.333333;0.2;1;1;0.333333;0.222222;0.333333;0.333333;1;0.153846;1;0.333333;0.2;0.0434783;0.333333;0.333333;0.2;0.333333;0.111111;0.333333;0.333333;0.0526316;0.333333;0.0833333;0.05;0.333333;0.333333;0.333333;0.2;0.333333;0.333333;0.125;0.333333;0.333333;0.2;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333
fichier;0.037037;0.133333;0.037037;1;0.3;0.0909091;0.0909091;0.3125;0.0769231;0.0714286;0.0344828;0.037037;0.0714286;0.0714286;0.037037;0.0769231;0.037037;0.0714286;0.0714286;0.225806;0.0952381;0.0571429;0.153846;0.0344828;0.0344828;0.0769231;0.0769231;0.153846;0.037037;0.037037;0.0769231;0.129032;0.0769231;0.037037;0.037037;0.0540541;0.037037;0.0769231;0.0714286;0.2;0.0769231;0.0769231;0.0344828;0.0769231;0.307692;0.0769231;0.0769231;0.419355;0.0769231;0.121212;0.216216;0.0769231;0.0769231;0.0769231;0.153846;0.037037;0.0769231;0.137931;0.037037;0.0769231;0.0714286;0.0769231;0.0769231;0.153846;0.037037;0.037037;0.037037;0.0769231;0.0344828;0.0769231;0.037037;0.0769231;0.037037;0.037037;0.0769231;0.037037;0.037037;0.0769231;0.037037;0.037037;0.0769231;0.037037;0.0769231;0.0769231
client;0.037037;0.0625;0.037037;0.3;1;0.2;0.2;0.166667;0.0769231;0.0714286;0.0714286;0.037037;0.0714286;0.0714286;0.037037;0.0769231;0.037037;0.153846;0.153846;0.117647;0.179487;0.121212;0.0714286;0.0344828;0.0714286;0.0769231;0.037037;0.153846;0.037037;0.037037;0.037037;0.0294118;0.0769231;0.0769231;0.037037;0.114286;0.037037;0.0769231;0.0714286;0.411765;0.0769231;0.0769231;0.0714286;0.0769231;0.133333;0.0769231;0.0769231;0.1;0.0769231;0.233333;0.216216;0.0769231;0.037037;0.0769231;0.153846;0.0769231;0.0769231;0.269231;0.0769231;0.0769231;0.153846;0.037037;0.0769231;0.153846;0.037037;0.037037;0.0769231;0.0769231;0.0714286;0.037037;0.037037;0.0769231;0.0769231;0.0769231;0.0769231;0.0769231;0.0769231;0.0769231;0.0769231;0.0769231;0.0769231;0.037037;0.0769231;0.0769231
base de donnée;0.0909091;0.153846;0.0909091;0.0909091;0.2;1;1;0.117647;0.0909091;0.0833333;0.181818;0.0909091;0.04;0.0833333;0.0434783;0.0909091;0.0434783;0.0833333;0.04;0.133333;0.5;0.269231;0.04;0.181818;0.0833333;0.0909091;0.0434783;0.0833333;0.0909091;0.0909091;0.0434783;0.0689655;0.0434783;0.0434783;0.0909091;0.296296;0.0909091;0.0909091;0.04;0.466667;0.0909091;0.0434783;0.04;0.0434783;0.0714286;0.0434783;0.0434783;0.111111;0.0434783;0.137931;0.108108;0.0909091;0.0434783;0.0434783;0.181818;0.0434783;0.0909091;0.0740741;0.0909091;0.0909091;0.0833333;0.0434783;0.0909091;0.0833333;0.0909091;0.0909091;0.0909091;0.0909091;0.04;0.0434783;0.0909091;0.0434783;0.0909091;0.0909091;0.0434783;0.0909091;0.0909091;0.0909091;0.0434783;0.0434783;0.0434783;0.0909091;0.0434783;0.0434783
donnée;0.0909091;0.153846;0.0909091;0.0909091;0.2;1;1;0.117647;0.0909091;0.0833333;0.181818;0.0909091;0.04;0.0833333;0.0434783;0.0909091;0.0434783;0.0833333;0.04;0.133333;0.5;0.269231;0.04;0.181818;0.0833333;0.0909091;0.0434783;0.0833333;0.0909091;0.0909091;0.0434783;0.0689655;0.0434783;0.0434783;0.0909091;0.296296;0.0909091;0.0909091;0.04;0.466667;0.0909091;0.0434783;0.04;0.0434783;0.0714286;0.0434783;0.0434783;0.111111;0.0434783;0.137931;0.108108;0.0909091;0.0434783;0.0434783;0.181818;0.0434783;0.0909091;0.0740741;0.0909091;0.0909091;0.0833333;0.0434783;0.0909091;0.0833333;0.0909091;0.0909091;0.0909091;0.0909091;0.04;0.0434783;0.0909091;0.0434783;0.0909091;0.0909091;0.0434783;0.0909091;0.0909091;0.0909091;0.0434783;0.0434783;0.0434783;0.0909091;0.0434783;0.0434783
php;0.125;0.0909091;0.125;0.3125;0.166667;0.117647;0.117647;1;0.0588235;0.111111;0.111111;0.125;0.111111;0.25;0.0588235;0.125;0.0588235;0.111111;0.111111;0.333333;0.125;0.08;0.25;0.111111;0.111111;0.0588235;0.125;0.111111;0.125;0.125;0.125;0.190476;0.125;0.0588235;0.125;0.0740741;0.125;0.125;0.111111;0.117647;0.125;0.125;0.0526316;0.125;0.2;0.125;0.125;0.133333;0.125;0.08;0.129032;0.125;0.0588235;0.125;0.111111;0.0588235;0.0588235;0.210526;0.0588235;0.0588235;0.111111;0.125;0.125;0.111111;0.0588235;0.0588235;0.0588235;0.0588235;0.0526316;0.0588235;0.0588235;0.125;0.0588235;0.0588235;0.125;0.0588235;0.0588235;0.125;0.0588235;0.0588235;0.125;0.0588235;0.125;0.125
javascript;0.333333;0.25;0.333333;0.0769231;0.0769231;0.0909091;0.0909091;0.0588235;1;0.2;0.2;0.333333;0.2;0.2;0.333333;0.333333;0.333333;0.2;0.2;0.0769231;0.1;0.0833333;0.2;0.2;0.2;1;0.333333;0.5;0.333333;0.333333;0.333333;0.1;0.333333;0.333333;0.333333;0.153846;0.333333;0.333333;0.2;0.0909091;0.333333;0.333333;0.2;0.333333;0.25;0.333333;0.333333;0.111111;0.333333;0.181818;0.105263;0.333333;0.333333;0.333333;0.5;0.333333;1;0.125;0.333333;1;0.2;0.333333;0.333333;0.5;0.333333;0.333333;0.333333;1;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333
code;0.2;0.0909091;0.2;0.0714286;0.0714286;0.0833333;0.0833333;0.111111;0.2;1;0.142857;0.2;0.333333;0.142857;0.5;0.5;0.5;0.142857;0.142857;0.142857;0.0434783;0.363636;0.142857;0.142857;0.142857;0.2;0.2;0.142857;0.2;0.2;0.2;0.181818;0.2;0.2;0.2;0.0625;0.2;0.5;0.142857;0.0833333;0.5;0.2;0.333333;0.2;0.0909091;0.2;0.2;0.047619;0.2;0.153846;0.0454545;0.5;0.2;0.2;0.333333;0.2;0.2;0.222222;0.2;0.2;0.333333;0.2;0.5;0.142857;0.2;0.2;0.2;0.2;0.333333;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.5;0.2;0.2;0.2;0.2;0.2;0.2
