X;page web;navigateur;serveur web;fichier;client;base de donnée;donnée;php;javascript;code;texte;concerner;commentaire;délimiter;gras;fois;lien hypertextes;url;case à cocher;post;nombre;text;langage;zones;utilisateur;affectation;syntaxe;case;associer;personne;structure de contrôle;méthode post;fermeture;passwd;machine;mysql;salaire;jour;programmation;site;paris;france;programmation web;session;chaîne;côté serveur;côté client;script;interpréter;serveur;type;opérateurs;list;pointeur;cle;méthode;conditionnelles;foreach;couleurs;valeur par défaut;classes;fonctionnalité;class;header;mot;visiteur;sauvegarder;null;web;positionnement;affiche;casse;internet;système;exe;menu;id;mysqli;head;attribut;valeur;moteur;timestamp;accéder
page web;1;0.5;1;0.2;0.0588235;0.333333;0.125;0.142857;0.333333;0.333333;1;1;0.2;0.5;0.333333;0.333333;0.333333;0.2;0.2;0.333333;0.333333;0.111111;0.333333;0.5;0.5;0.333333;0.333333;0.2;1;1;0.333333;0.142857;0.333333;0.333333;1;0.5;1;0.333333;0.2;0.125;0.333333;0.333333;0.333333;0.333333;0.2;0.333333;0.333333;0.142857;0.333333;0.166667;0.333333;0.333333;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333
navigateur;0.5;1;0.5;0.142857;0.111111;0.5;0.222222;0.111111;0.5;0.2;0.5;0.5;0.142857;0.333333;0.2;0.2;0.2;0.142857;0.142857;0.2;0.5;0.0909091;0.2;0.333333;0.333333;0.5;0.2;0.333333;0.5;0.5;0.2;0.111111;0.2;0.2;0.5;1;0.5;0.2;0.142857;0.1;0.2;0.2;0.2;0.2;0.333333;0.2;0.2;0.111111;0.2;0.285714;0.2;0.2;0.2;0.2;0.333333;0.2;0.5;0.2;0.2;0.5;0.2;0.2;0.2;0.333333;0.2;0.2;0.2;0.5;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2
serveur web;1;0.5;1;0.2;0.0588235;0.333333;0.125;0.142857;0.333333;0.333333;1;1;0.2;0.5;0.333333;0.333333;0.333333;0.2;0.2;0.333333;0.333333;0.111111;0.333333;0.5;0.5;0.333333;0.333333;0.2;1;1;0.333333;0.142857;0.333333;0.333333;1;0.5;1;0.333333;0.2;0.125;0.333333;0.333333;0.333333;0.333333;0.2;0.333333;0.333333;0.142857;0.333333;0.166667;0.333333;0.333333;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333
fichier;0.2;0.142857;0.2;1;0.111111;0.2;0.1;0.25;0.2;0.2;0.2;0.2;0.333333;0.333333;0.2;0.2;0.2;0.142857;0.333333;0.2;0.2;0.0909091;0.2;0.142857;0.142857;0.2;0.2;0.142857;0.2;0.2;0.2;0.25;0.2;0.2;0.2;0.142857;0.2;0.2;0.142857;0.1;0.2;0.2;0.2;0.2;0.142857;0.5;0.5;0.25;0.5;0.285714;0.2;0.2;0.5;0.5;0.142857;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.142857;0.2;0.2;0.2;0.2;0.2;0.5;0.2;0.5;0.2;0.2;0.5;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2
client;0.0588235;0.111111;0.0588235;0.111111;1;0.125;0.210526;0.222222;0.125;0.125;0.0588235;0.0588235;0.111111;0.111111;0.0588235;0.125;0.0588235;0.25;0.25;0.125;0.125;0.2;0.125;0.0526316;0.111111;0.125;0.0588235;0.25;0.0588235;0.0588235;0.0588235;0.047619;0.125;0.125;0.0588235;0.111111;0.0588235;0.125;0.111111;0.4375;0.125;0.125;0.0588235;0.125;0.25;0.125;0.125;0.047619;0.125;0.3125;0.0588235;0.125;0.0588235;0.125;0.25;0.125;0.125;0.125;0.125;0.125;0.125;0.0588235;0.125;0.25;0.0588235;0.0588235;0.125;0.125;0.125;0.0588235;0.0588235;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.0588235;0.125;0.125
base de donnée;0.333333;0.5;0.333333;0.2;0.125;1;0.285714;0.142857;1;0.333333;0.333333;0.333333;0.2;0.2;0.333333;0.333333;0.333333;0.2;0.2;0.333333;1;0.111111;0.333333;0.2;0.2;1;0.333333;0.5;0.333333;0.333333;0.333333;0.142857;0.333333;0.333333;0.333333;0.5;0.333333;0.333333;0.2;0.125;0.333333;0.333333;0.333333;0.333333;0.5;0.333333;0.333333;0.142857;0.333333;0.4;0.333333;0.333333;0.333333;0.333333;0.5;0.333333;1;0.333333;0.333333;1;0.333333;0.333333;0.333333;0.5;0.333333;0.333333;0.333333;1;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333
donnée;0.125;0.222222;0.125;0.1;0.210526;0.285714;1;0.181818;0.285714;0.285714;0.125;0.125;0.1;0.1;0.125;0.285714;0.125;0.1;0.1;0.285714;0.285714;0.363636;0.125;0.222222;0.1;0.285714;0.125;0.222222;0.125;0.125;0.125;0.0833333;0.125;0.125;0.125;0.222222;0.125;0.285714;0.1;0.166667;0.285714;0.125;0.125;0.125;0.222222;0.125;0.125;0.181818;0.125;0.2;0.285714;0.285714;0.125;0.125;0.571429;0.125;0.285714;0.285714;0.125;0.285714;0.125;0.125;0.285714;0.222222;0.285714;0.285714;0.125;0.285714;0.125;0.125;0.285714;0.125;0.125;0.125;0.125;0.125;0.125;0.285714;0.125;0.125;0.125;0.285714;0.125;0.125
php;0.142857;0.111111;0.142857;0.25;0.222222;0.142857;0.181818;1;0.142857;0.333333;0.142857;0.142857;0.25;0.25;0.142857;0.333333;0.142857;0.111111;0.25;0.333333;0.142857;0.166667;0.142857;0.111111;0.111111;0.142857;0.333333;0.111111;0.142857;0.142857;0.333333;0.2;0.142857;0.142857;0.142857;0.111111;0.142857;0.333333;0.25;0.181818;0.333333;0.142857;0.142857;0.142857;0.111111;0.333333;0.333333;0.2;0.333333;0.222222;0.142857;0.333333;0.142857;0.333333;0.25;0.142857;0.142857;0.333333;0.142857;0.142857;0.142857;0.333333;0.333333;0.111111;0.142857;0.142857;0.142857;0.142857;0.142857;0.142857;0.142857;0.333333;0.142857;0.142857;0.333333;0.142857;0.142857;0.333333;0.142857;0.142857;0.142857;0.142857;0.142857;0.142857
javascript;0.333333;0.5;0.333333;0.2;0.125;1;0.285714;0.142857;1;0.333333;0.333333;0.333333;0.2;0.2;0.333333;0.333333;0.333333;0.2;0.2;0.333333;1;0.111111;0.333333;0.2;0.2;1;0.333333;0.5;0.333333;0.333333;0.333333;0.142857;0.333333;0.333333;0.333333;0.5;0.333333;0.333333;0.2;0.125;0.333333;0.333333;0.333333;0.333333;0.5;0.333333;0.333333;0.142857;0.333333;0.4;0.333333;0.333333;0.333333;0.333333;0.5;0.333333;1;0.333333;0.333333;1;0.333333;0.333333;0.333333;0.5;0.333333;0.333333;0.333333;1;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333
code;0.333333;0.2;0.333333;0.2;0.125;0.333333;0.285714;0.333333;0.333333;1;0.333333;0.333333;0.2;0.2;0.333333;1;0.333333;0.2;0.2;1;0.333333;0.25;0.333333;0.2;0.2;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;0.142857;0.333333;0.333333;0.333333;0.2;0.333333;1;0.2;0.285714;1;0.333333;0.333333;0.333333;0.2;0.333333;0.333333;0.142857;0.333333;0.166667;0.333333;1;0.333333;0.333333;0.5;0.333333;0.333333;1;0.333333;0.333333;0.333333;0.333333;1;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;1;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333
texte;1;0.5;1;0.2;0.0588235;0.333333;0.125;0.142857;0.333333;0.333333;1;1;0.2;0.5;0.333333;0.333333;0.333333;0.2;0.2;0.333333;0.333333;0.111111;0.333333;0.5;0.5;0.333333;0.333333;0.2;1;1;0.333333;0.142857;0.333333;0.333333;1;0.5;1;0.333333;0.2;0.125;0.333333;0.333333;0.333333;0.333333;0.2;0.333333;0.333333;0.142857;0.333333;0.166667;0.333333;0.333333;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333
