X ; php bn:01753580n ; mysql bn:01225760n ; texte bn:00076732n ; fichier bn:00021475n ; données bn:00025314n ; types bn:00016413n ; session bn:03751534n ; base de donnees bn:00025333n ; entités bn:00031027n ; site bn:00047172n ; client web bn:00013447n ; langage de script bn:01431715n ; nombre bn:00058285n ; sélectionner bn:00084931v ; post bn:01500184n ; méthode get bn:00045088n ; code bn:00020354n ; utilisateur bn:00079373n ; afficher bn:00087013v ; nécessaire bn:00107182a ; serveur bn:00044916n ; fois bn:00032768n ; programmation bn:00021493n ; class bn:03598962n ; commentaires bn:00020978n ; composer bn:14766022n ; chaîne bn:00074685n ; syntaxe bn:00062118n ; personne bn:00046516n ; définition bn:00025928n ; langage bn:00049910n ; mode bn:00033729n ; configuration bn:03088982n ; xml bn:02771436n ; web bn:00080772n ; méthode bn:01641329n ; bits bn:00010731n ; foreach bn:03463379n ; pouvoir bn:00084450v ; information bn:00046705n ; varchar bn:01838409n ; timestamp bn:03603649n ; easyphp bn:14837849n ; insert bn:03795444n ; pouvoir bn:00084451v ; impossible bn:00104687a ; en-tête bn:00043309n ; client bn:00019764n ; file bn:00065682n ; echo bn:03626250n ; rue bn:00074595n ; exception bn:00032118n ; wamp bn:01708928n ; symfony bn:02798620n ; doctype bn:15839327n ; realisateur bn:00027369n ; null bn:15898583n
client web bn:00013447n ; 0.117647 ; 0.133333 ; 0.4 ; 0.533333 ; 0.222222 ; 0.133333 ; 0.133333 ; 0.222222 ; 0.133333 ; 0.117647 ; 1 ; 0.266667 ; 0.333333 ; 0.133333 ; 0.133333 ; 0.117647 ; 0.210526 ; 0.133333 ; 0.266667 ; 0.266667 ; 0.133333 ; 0.133333 ; 0.0625 ; 0.0625 ; 0.133333 ; 0.0625 ; 0.117647 ; 0.133333 ; 0.0625 ; 0.133333 ; 0.222222 ; 0.133333 ; 0.0625 ; 0.0625 ; 0.133333 ; 0.117647 ; 0.133333 ; 0.133333 ; 0.133333 ; 0.133333 ; 0.0625 ; 0.0625 ; 0.133333 ; 0.0625 ; 0.210526 ; 0.133333 ; 0.133333 ; 0.0625 ; 0.0625 ; 0.117647 ; 0.133333 ; 0.0625 ; 0.133333 ; 0.0625 ; 0.0625 ; 0.133333 ; 0.0625
langage de script bn:01431715n ; 0.142857 ; 0.5 ; 0.133333 ; 0.2 ; 0.222222 ; 0.5 ; 0.2 ; 0.222222 ; 0.5 ; 0.142857 ; 0.266667 ; 1 ; 0.235294 ; 0.5 ; 0.2 ; 0.142857 ; 0.2 ; 0.2 ; 0.142857 ; 1 ; 0.5 ; 0.5 ; 0.2 ; 0.2 ; 0.5 ; 0.2 ; 0.333333 ; 0.5 ; 0.2 ; 0.2 ; 0.571429 ; 0.5 ; 0.2 ; 0.2 ; 0.5 ; 0.142857 ; 0.5 ; 0.2 ; 0.5 ; 0.5 ; 0.2 ; 0.2 ; 0.5 ; 0.2 ; 0.2 ; 0.5 ; 0.2 ; 0.2 ; 0.2 ; 0.333333 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2
nombre bn:00058285n ; 0.05 ; 0.117647 ; 0.304348 ; 0.190476 ; 0.411765 ; 0.117647 ; 0.117647 ; 0.411765 ; 0.117647 ; 0.105263 ; 0.333333 ; 0.235294 ; 1 ; 0.117647 ; 0.0555556 ; 0.105263 ; 0.190476 ; 0.0555556 ; 0.105263 ; 0.235294 ; 0.117647 ; 0.117647 ; 0.117647 ; 0.117647 ; 0.117647 ; 0.0555556 ; 0.235294 ; 0.117647 ; 0.117647 ; 0.117647 ; 0.411765 ; 0.117647 ; 0.0555556 ; 0.0555556 ; 0.117647 ; 0.235294 ; 0.117647 ; 0.0555556 ; 0.117647 ; 0.117647 ; 0.117647 ; 0.117647 ; 0.117647 ; 0.117647 ; 0.190476 ; 0.117647 ; 0.0555556 ; 0.0555556 ; 0.117647 ; 0.235294 ; 0.117647 ; 0.117647 ; 0.0555556 ; 0.0555556 ; 0.0555556 ; 0.0555556 ; 0.117647
sélectionner bn:00084931v ; 0.2 ; 1 ; 0.153846 ; 0.111111 ; 0.285714 ; 0.333333 ; 0.333333 ; 0.285714 ; 1 ; 0.2 ; 0.133333 ; 0.5 ; 0.117647 ; 1 ; 0.333333 ; 0.2 ; 0.111111 ; 0.333333 ; 0.2 ; 0.5 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.285714 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.25 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
post bn:01500184n ; 0.5 ; 0.333333 ; 0.153846 ; 0.25 ; 0.125 ; 0.333333 ; 0.333333 ; 0.125 ; 0.333333 ; 0.5 ; 0.133333 ; 0.2 ; 0.0555556 ; 0.333333 ; 1 ; 0.2 ; 0.25 ; 1 ; 0.5 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.125 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.25 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 1 ; 0.333333
méthode get bn:00045088n ; 0.333333 ; 0.2 ; 0.133333 ; 0.2 ; 0.222222 ; 0.2 ; 0.5 ; 0.222222 ; 0.2 ; 0.142857 ; 0.117647 ; 0.142857 ; 0.105263 ; 0.2 ; 0.2 ; 1 ; 0.0909091 ; 0.2 ; 0.333333 ; 0.142857 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.5 ; 0.142857 ; 0.2 ; 0.2 ; 0.5 ; 0.1 ; 0.2 ; 0.5 ; 0.5 ; 0.2 ; 0.333333 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.0909091 ; 0.2 ; 0.2 ; 0.5 ; 0.2 ; 0.142857 ; 0.5 ; 0.2 ; 0.2 ; 0.5 ; 0.5 ; 0.2 ; 0.2
code bn:00020354n ; 0.2 ; 0.111111 ; 0.235294 ; 0.333333 ; 0.0714286 ; 0.25 ; 0.111111 ; 0.0714286 ; 0.111111 ; 0.2 ; 0.210526 ; 0.2 ; 0.190476 ; 0.111111 ; 0.25 ; 0.0909091 ; 1 ; 0.25 ; 0.2 ; 0.2 ; 0.25 ; 0.25 ; 0.25 ; 0.25 ; 0.25 ; 0.111111 ; 0.5 ; 0.25 ; 0.111111 ; 0.111111 ; 0.153846 ; 0.25 ; 0.111111 ; 0.111111 ; 0.111111 ; 0.2 ; 0.25 ; 0.25 ; 0.25 ; 0.111111 ; 0.111111 ; 0.25 ; 0.25 ; 0.111111 ; 0.142857 ; 0.111111 ; 0.25 ; 0.111111 ; 0.25 ; 0.5 ; 0.111111 ; 0.25 ; 0.25 ; 0.111111 ; 0.111111 ; 0.25 ; 0.111111
utilisateur bn:00079373n ; 0.5 ; 0.333333 ; 0.153846 ; 0.25 ; 0.125 ; 0.333333 ; 0.333333 ; 0.125 ; 0.333333 ; 0.5 ; 0.133333 ; 0.2 ; 0.0555556 ; 0.333333 ; 1 ; 0.2 ; 0.25 ; 1 ; 0.5 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.125 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.25 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 1 ; 0.333333
afficher bn:00087013v ; 0.333333 ; 0.2 ; 0.307692 ; 0.5 ; 0.222222 ; 0.2 ; 0.5 ; 0.222222 ; 0.2 ; 0.333333 ; 0.266667 ; 0.142857 ; 0.105263 ; 0.2 ; 0.5 ; 0.333333 ; 0.2 ; 0.5 ; 1 ; 0.142857 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.142857 ; 0.2 ; 0.2 ; 0.5 ; 0.1 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.333333 ; 0.2 ; 0.5 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.5 ; 0.2 ; 0.2 ; 0.142857 ; 0.5 ; 0.2 ; 0.5 ; 0.2 ; 0.2 ; 0.5 ; 0.2
nécessaire bn:00107182a ; 0.142857 ; 0.5 ; 0.133333 ; 0.2 ; 0.222222 ; 0.5 ; 0.2 ; 0.222222 ; 0.5 ; 0.142857 ; 0.266667 ; 1 ; 0.235294 ; 0.5 ; 0.2 ; 0.142857 ; 0.2 ; 0.2 ; 0.142857 ; 1 ; 0.5 ; 0.5 ; 0.2 ; 0.2 ; 0.5 ; 0.2 ; 0.333333 ; 0.5 ; 0.2 ; 0.2 ; 0.571429 ; 0.5 ; 0.2 ; 0.2 ; 0.5 ; 0.142857 ; 0.5 ; 0.2 ; 0.5 ; 0.5 ; 0.2 ; 0.2 ; 0.5 ; 0.2 ; 0.2 ; 0.5 ; 0.2 ; 0.2 ; 0.2 ; 0.333333 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2
serveur bn:00044916n ; 0.2 ; 0.333333 ; 0.0714286 ; 0.25 ; 0.125 ; 1 ; 0.333333 ; 0.125 ; 0.333333 ; 0.2 ; 0.133333 ; 0.5 ; 0.117647 ; 0.333333 ; 0.333333 ; 0.2 ; 0.25 ; 0.333333 ; 0.2 ; 0.5 ; 1 ; 1 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.5 ; 1 ; 0.333333 ; 0.333333 ; 0.285714 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 1 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.111111 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.5 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
fois bn:00032768n ; 0.2 ; 0.333333 ; 0.0714286 ; 0.25 ; 0.125 ; 1 ; 0.333333 ; 0.125 ; 0.333333 ; 0.2 ; 0.133333 ; 0.5 ; 0.117647 ; 0.333333 ; 0.333333 ; 0.2 ; 0.25 ; 0.333333 ; 0.2 ; 0.5 ; 1 ; 1 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.5 ; 1 ; 0.333333 ; 0.333333 ; 0.285714 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 1 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.111111 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.5 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
programmation bn:00021493n ; 0.2 ; 0.333333 ; 0.153846 ; 0.111111 ; 0.125 ; 0.333333 ; 0.333333 ; 0.125 ; 0.333333 ; 0.2 ; 0.0625 ; 0.2 ; 0.117647 ; 0.333333 ; 0.333333 ; 0.2 ; 0.25 ; 0.333333 ; 0.2 ; 0.2 ; 0.333333 ; 0.333333 ; 1 ; 1 ; 0.333333 ; 0.333333 ; 0.5 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.125 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.5 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.111111 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.5 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
class bn:03598962n ; 0.2 ; 0.333333 ; 0.153846 ; 0.111111 ; 0.125 ; 0.333333 ; 0.333333 ; 0.125 ; 0.333333 ; 0.2 ; 0.0625 ; 0.2 ; 0.117647 ; 0.333333 ; 0.333333 ; 0.2 ; 0.25 ; 0.333333 ; 0.2 ; 0.2 ; 0.333333 ; 0.333333 ; 1 ; 1 ; 0.333333 ; 0.333333 ; 0.5 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.125 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.5 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.111111 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.5 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
commentaires bn:00020978n ; 0.2 ; 0.333333 ; 0.0714286 ; 0.25 ; 0.125 ; 1 ; 0.333333 ; 0.125 ; 0.333333 ; 0.2 ; 0.133333 ; 0.5 ; 0.117647 ; 0.333333 ; 0.333333 ; 0.2 ; 0.25 ; 0.333333 ; 0.2 ; 0.5 ; 1 ; 1 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.5 ; 1 ; 0.333333 ; 0.333333 ; 0.285714 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 1 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.111111 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.5 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
composer bn:14766022n ; 0.5 ; 0.333333 ; 0.0714286 ; 0.111111 ; 0.125 ; 0.333333 ; 0.333333 ; 0.125 ; 0.333333 ; 0.2 ; 0.0625 ; 0.2 ; 0.0555556 ; 0.333333 ; 0.333333 ; 0.5 ; 0.111111 ; 0.333333 ; 0.2 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.125 ; 0.333333 ; 1 ; 1 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.111111 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 1 ; 0.333333 ; 0.333333
chaîne bn:00074685n ; 0.142857 ; 0.2 ; 0.133333 ; 0.2 ; 0.1 ; 0.5 ; 0.2 ; 0.1 ; 0.2 ; 0.142857 ; 0.117647 ; 0.333333 ; 0.235294 ; 0.2 ; 0.2 ; 0.142857 ; 0.5 ; 0.2 ; 0.142857 ; 0.333333 ; 0.5 ; 0.5 ; 0.5 ; 0.5 ; 0.5 ; 0.2 ; 1 ; 0.5 ; 0.2 ; 0.2 ; 0.222222 ; 0.5 ; 0.2 ; 0.2 ; 0.2 ; 0.333333 ; 0.5 ; 0.2 ; 0.5 ; 0.2 ; 0.2 ; 0.5 ; 0.5 ; 0.2 ; 0.0909091 ; 0.2 ; 0.2 ; 0.2 ; 0.5 ; 1 ; 0.2 ; 0.5 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2
syntaxe bn:00062118n ; 0.2 ; 0.333333 ; 0.0714286 ; 0.25 ; 0.125 ; 1 ; 0.333333 ; 0.125 ; 0.333333 ; 0.2 ; 0.133333 ; 0.5 ; 0.117647 ; 0.333333 ; 0.333333 ; 0.2 ; 0.25 ; 0.333333 ; 0.2 ; 0.5 ; 1 ; 1 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.5 ; 1 ; 0.333333 ; 0.333333 ; 0.285714 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 1 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.111111 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.5 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
personne bn:00046516n ; 0.2 ; 0.333333 ; 0.0714286 ; 0.111111 ; 0.285714 ; 0.333333 ; 0.333333 ; 0.285714 ; 0.333333 ; 0.5 ; 0.0625 ; 0.2 ; 0.117647 ; 0.333333 ; 0.333333 ; 0.2 ; 0.111111 ; 0.333333 ; 0.2 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 1 ; 0.333333 ; 0.285714 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 1 ; 0.25 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1
